Sheet 1: Healthy life expectancy in the UK by age and sex: between 2011 to 2013 and 2022 to 2024,,,,,,,,,,,,
[note 1] [note 2] [note 3] [note 4] [note 5] [note 6] [note 7],,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,
HLE refers to healthy life expectancy; LCI refers to lower bound of the 95% confidence interval; UCI refers to upper bound of the 95% confidence interval; Proportion (%) refers to proportion of life spent in good health.,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,
Return to Contents,,,,,,,,,,,,
Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%)
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,01 to 04,2,63.0,61.2,64.7,80
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,05 to 09,3,59.2,57.5,60.8,79
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,10 to 14,4,54.4,52.9,55.9,78
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,15 to 19,5,49.7,48.2,51.1,76
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,20 to 24,6,45.0,43.6,46.4,75
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,25 to 29,7,40.5,39.2,41.9,73
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,30 to 34,8,36.1,34.7,37.4,71
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,35 to 39,9,31.7,30.4,33.1,70
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,40 to 44,10,27.6,26.3,28.8,67
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,45 to 49,11,23.5,22.3,24.8,65
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,50 to 54,12,19.7,18.4,20.9,62
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,55 to 59,13,16.1,14.9,17.2,60
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,60 to 64,14,12.8,11.6,14.0,57
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,65 to 69,15,9.9,8.7,11.0,53
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,70 to 74,16,7.3,6.1,8.4,50
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,75 to 79,17,5.0,3.8,6.3,45
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,80 to 84,18,3.3,1.9,4.6,40
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,85 to 89,19,2.0,1.2,2.9,35
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Male,1,90+,20,1.3,0.7,1.8,32
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,<1,1,63.8,62.0,65.7,77
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,01 to 04,2,63.1,61.2,64.9,77
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,05 to 09,3,59.3,57.6,61.0,76
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,10 to 14,4,54.6,53.1,56.2,74
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,15 to 19,5,49.9,48.5,51.4,73
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,20 to 24,6,45.3,43.9,46.8,71
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,25 to 29,7,40.8,39.4,42.3,70
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,30 to 34,8,36.4,35.0,37.8,68
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,35 to 39,9,32.1,30.8,33.5,66
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,40 to 44,10,28.0,26.6,29.3,64
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,45 to 49,11,24.0,22.7,25.3,61
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,50 to 54,12,20.2,18.9,21.5,59
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,55 to 59,13,16.7,15.4,17.9,56
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,60 to 64,14,13.4,12.2,14.6,53
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,65 to 69,15,10.4,9.2,11.6,50
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,70 to 74,16,7.7,6.5,8.9,46
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,75 to 79,17,5.4,4.2,6.7,42
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,80 to 84,18,3.5,2.3,4.8,38
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,85 to 89,19,2.2,1.4,2.9,33
2012 to 2014,England,Local Areas,E10000028,Staffordshire,Female,2,90+,20,1.2,0.8,1.7,28
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,<1,1,65.1,63.5,66.8,81
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,01 to 04,2,64.4,62.8,66.1,81
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,05 to 09,3,60.7,59.1,62.2,80
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,10 to 14,4,55.9,54.5,57.3,79
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,15 to 19,5,51.2,49.8,52.5,77
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,20 to 24,6,46.5,45.2,47.9,76
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,25 to 29,7,42.0,40.7,43.3,75
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,30 to 34,8,37.5,36.2,38.8,73
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,35 to 39,9,33.2,31.9,34.5,71
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,40 to 44,10,29.0,27.7,30.2,69
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,45 to 49,11,24.9,23.7,26.1,67
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,50 to 54,12,21.0,19.8,22.2,65
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,55 to 59,13,17.3,16.2,18.5,62
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,60 to 64,14,14.0,12.8,15.1,59
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,65 to 69,15,10.9,9.8,12.0,56
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,70 to 74,16,8.2,7.1,9.3,53
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,75 to 79,17,5.8,4.7,6.9,48
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,80 to 84,18,3.8,2.6,5.0,44
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,85 to 89,19,2.5,1.7,3.2,39
2012 to 2014,England,Local Areas,E10000029,Suffolk,Male,1,90+,20,1.5,1.1,2.0,35
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,<1,1,66.3,64.4,68.1,79
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,01 to 04,2,65.5,63.7,67.3,79
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,05 to 09,3,61.7,60.0,63.4,78
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,10 to 14,4,56.9,55.3,58.5,77
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,15 to 19,5,52.2,50.7,53.7,75
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,20 to 24,6,47.6,46.1,49.1,74
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,25 to 29,7,43.1,41.6,44.6,72
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,30 to 34,8,38.6,37.2,40.1,71
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,35 to 39,9,34.3,32.9,35.7,69
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,40 to 44,10,30.1,28.7,31.5,67
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,45 to 49,11,26.0,24.6,27.4,65
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,50 to 54,12,22.1,20.8,23.5,63
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,55 to 59,13,18.5,17.2,19.8,60
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,60 to 64,14,15.1,13.8,16.4,58
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,65 to 69,15,11.9,10.6,13.2,54
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,70 to 74,16,9.0,7.7,10.3,51
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,75 to 79,17,6.4,5.2,7.7,47
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,80 to 84,18,4.4,3.1,5.7,43
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,85 to 89,19,2.8,2.0,3.6,39
2012 to 2014,England,Local Areas,E10000029,Suffolk,Female,2,90+,20,1.8,1.2,2.3,35
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,<1,1,67.6,66.1,69.0,83
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,01 to 04,2,66.9,65.4,68.3,83
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,05 to 09,3,63.1,61.7,64.4,82
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,10 to 14,4,58.3,57.0,59.6,81
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,15 to 19,5,53.6,52.4,54.8,80
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,20 to 24,6,48.9,47.7,50.2,79
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,25 to 29,7,44.4,43.2,45.6,78
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,30 to 34,8,39.8,38.7,41.0,76
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,35 to 39,9,35.4,34.3,36.6,75
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,40 to 44,10,31.0,29.9,32.2,73
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,45 to 49,11,26.8,25.7,28.0,71
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,50 to 54,12,22.8,21.7,23.9,69
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,55 to 59,13,19.0,17.9,20.0,67
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,60 to 64,14,15.4,14.3,16.5,64
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,65 to 69,15,12.2,11.1,13.2,61
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,70 to 74,16,9.2,8.2,10.3,58
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,75 to 79,17,6.7,5.6,7.8,55
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,80 to 84,18,4.5,3.4,5.7,51
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,85 to 89,19,3.0,2.2,3.7,46
2012 to 2014,England,Local Areas,E10000030,Surrey,Male,1,90+,20,1.9,1.4,2.4,42
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,<1,1,68.9,67.2,70.5,81
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,01 to 04,2,68.1,66.5,69.7,81
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,05 to 09,3,64.3,62.8,65.9,81
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,10 to 14,4,59.6,58.2,61.1,80
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,15 to 19,5,54.9,53.6,56.3,79
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,20 to 24,6,50.3,49.0,51.7,78
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,25 to 29,7,45.8,44.5,47.2,76
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,30 to 34,8,41.4,40.1,42.7,75
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,35 to 39,9,37.0,35.7,38.2,74
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,40 to 44,10,32.6,31.4,33.9,72
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,45 to 49,11,28.4,27.2,29.7,71
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,50 to 54,12,24.4,23.2,25.7,69
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,55 to 59,13,20.6,19.4,21.8,67
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,60 to 64,14,16.9,15.7,18.1,64
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,65 to 69,15,13.5,12.3,14.7,62
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,70 to 74,16,10.3,9.1,11.5,58
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,75 to 79,17,7.4,6.2,8.6,54
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,80 to 84,18,5.1,3.9,6.3,50
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,85 to 89,19,3.3,2.5,4.1,46
2012 to 2014,England,Local Areas,E10000030,Surrey,Female,2,90+,20,2.1,1.6,2.6,43
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,<1,1,66.6,64.7,68.5,83
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,01 to 04,2,65.8,64.0,67.7,83
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,05 to 09,3,62.0,60.2,63.8,82
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,10 to 14,4,57.2,55.5,58.9,81
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,15 to 19,5,52.4,50.7,54.1,80
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,20 to 24,6,47.7,46.0,49.4,79
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,25 to 29,7,43.1,41.4,44.7,77
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,30 to 34,8,38.6,36.9,40.2,76
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,35 to 39,9,34.1,32.5,35.7,74
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,40 to 44,10,29.8,28.2,31.3,72
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,45 to 49,11,25.5,24.0,27.1,70
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,50 to 54,12,21.5,20.0,23.0,68
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,55 to 59,13,17.8,16.2,19.3,65
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,60 to 64,14,14.4,12.9,15.8,62
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,65 to 69,15,11.2,9.7,12.7,59
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,70 to 74,16,8.4,6.9,9.9,55
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,75 to 79,17,6.0,4.4,7.6,51
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,80 to 84,18,3.9,2.1,5.7,46
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,85 to 89,19,2.5,1.4,3.6,41
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Male,1,90+,20,1.6,0.9,2.4,38
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,<1,1,67.5,65.3,69.7,81
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,01 to 04,2,66.8,64.6,68.9,80
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,05 to 09,3,62.9,60.9,65.0,80
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,10 to 14,4,58.1,56.2,60.0,78
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,15 to 19,5,53.3,51.5,55.2,77
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,20 to 24,6,48.7,46.8,50.5,76
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,25 to 29,7,44.0,42.2,45.9,74
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,30 to 34,8,39.5,37.7,41.3,73
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,35 to 39,9,35.0,33.3,36.8,71
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,40 to 44,10,30.7,29.0,32.5,69
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,45 to 49,11,26.6,24.8,28.3,67
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,50 to 54,12,22.5,20.9,24.2,64
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,55 to 59,13,18.8,17.1,20.5,62
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,60 to 64,14,15.3,13.7,17.0,59
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,65 to 69,15,12.0,10.4,13.7,56
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,70 to 74,16,9.1,7.4,10.7,52
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,75 to 79,17,6.5,4.8,8.2,48
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,80 to 84,18,4.4,2.6,6.1,44
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,85 to 89,19,2.8,1.7,4.0,39
2012 to 2014,England,Local Areas,E10000031,Warwickshire,Female,2,90+,20,1.8,1.1,2.5,35
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,<1,1,66.7,65.1,68.4,83
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,01 to 04,2,66.0,64.4,67.6,83
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,05 to 09,3,62.2,60.7,63.8,82
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,10 to 14,4,57.5,56.0,58.9,81
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,15 to 19,5,52.7,51.3,54.1,80
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,20 to 24,6,48.1,46.7,49.4,79
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,25 to 29,7,43.5,42.2,44.9,78
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,30 to 34,8,39.1,37.7,40.4,76
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,35 to 39,9,34.6,33.3,35.9,75
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,40 to 44,10,30.3,29.1,31.6,73
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,45 to 49,11,26.1,24.9,27.4,71
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,50 to 54,12,22.2,21.0,23.4,69
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,55 to 59,13,18.4,17.2,19.6,66
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,60 to 64,14,14.9,13.8,16.1,64
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,65 to 69,15,11.8,10.7,13.0,61
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,70 to 74,16,8.9,7.8,10.1,58
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,75 to 79,17,6.4,5.2,7.6,54
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,80 to 84,18,4.3,3.1,5.6,49
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,85 to 89,19,2.8,1.9,3.6,45
2012 to 2014,England,Local Areas,E10000032,West Sussex,Male,1,90+,20,1.7,1.2,2.2,41
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,<1,1,68.5,66.7,70.4,81
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,01 to 04,2,67.8,66.0,69.7,81
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,05 to 09,3,64.0,62.3,65.8,81
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,10 to 14,4,59.3,57.7,60.9,80
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,15 to 19,5,54.6,53.1,56.1,78
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,20 to 24,6,50.0,48.5,51.5,77
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,25 to 29,7,45.5,44.0,47.0,76
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,30 to 34,8,41.0,39.6,42.5,75
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,35 to 39,9,36.7,35.3,38.1,74
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,40 to 44,10,32.4,31.0,33.7,72
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,45 to 49,11,28.2,26.8,29.6,70
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,50 to 54,12,24.2,22.9,25.5,68
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,55 to 59,13,20.4,19.1,21.7,66
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,60 to 64,14,16.8,15.5,18.1,64
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,65 to 69,15,13.5,12.2,14.8,61
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,70 to 74,16,10.3,9.0,11.6,58
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,75 to 79,17,7.5,6.2,8.8,54
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,80 to 84,18,5.1,3.8,6.4,50
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,85 to 89,19,3.3,2.4,4.2,46
2012 to 2014,England,Local Areas,E10000032,West Sussex,Female,2,90+,20,2.1,1.6,2.7,43
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,<1,1,66.8,65.1,68.5,84
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,01 to 04,2,66.1,64.4,67.8,84
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,05 to 09,3,62.3,60.7,63.9,83
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,10 to 14,4,57.5,55.9,59.0,82
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,15 to 19,5,52.6,51.2,54.1,81
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,20 to 24,6,47.9,46.5,49.4,80
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,25 to 29,7,43.3,41.9,44.8,78
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,30 to 34,8,38.8,37.4,40.2,77
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,35 to 39,9,34.4,33.0,35.7,75
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,40 to 44,10,30.0,28.6,31.4,73
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,45 to 49,11,25.8,24.4,27.1,71
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,50 to 54,12,21.7,20.4,23.1,68
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,55 to 59,13,17.9,16.7,19.2,66
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,60 to 64,14,14.5,13.2,15.7,63
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,65 to 69,15,11.3,10.0,12.6,60
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,70 to 74,16,8.4,7.2,9.7,56
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,75 to 79,17,5.9,4.6,7.3,52
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,80 to 84,18,4.0,2.6,5.4,47
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,85 to 89,19,2.4,1.6,3.3,42
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Male,1,90+,20,1.5,1.0,2.1,37
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,<1,1,67.8,65.8,69.7,81
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,01 to 04,2,67.1,65.1,69.0,81
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,05 to 09,3,63.2,61.3,65.1,80
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,10 to 14,4,58.4,56.6,60.2,79
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,15 to 19,5,53.6,51.9,55.3,78
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,20 to 24,6,48.9,47.2,50.6,77
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,25 to 29,7,44.3,42.6,46.0,75
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,30 to 34,8,39.8,38.1,41.4,74
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,35 to 39,9,35.3,33.6,36.9,72
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,40 to 44,10,31.0,29.4,32.6,70
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,45 to 49,11,26.8,25.2,28.4,68
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,50 to 54,12,22.8,21.2,24.3,65
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,55 to 59,13,18.9,17.4,20.5,63
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,60 to 64,14,15.4,13.9,16.9,60
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,65 to 69,15,12.1,10.6,13.6,57
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,70 to 74,16,9.1,7.6,10.6,53
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,75 to 79,17,6.5,4.9,8.1,49
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,80 to 84,18,4.4,2.8,6.0,45
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,85 to 89,19,2.8,1.8,3.8,40
2012 to 2014,England,Local Areas,E10000034,Worcestershire,Female,2,90+,20,1.8,1.1,2.4,36
2012 to 2014,England,Region,E12000001,North East,Male,1,<1,1,59.1,58.5,59.7,76
2012 to 2014,England,Region,E12000001,North East,Male,1,01 to 04,2,58.4,57.8,59.0,76
2012 to 2014,England,Region,E12000001,North East,Male,1,05 to 09,3,54.7,54.1,55.2,75
2012 to 2014,England,Region,E12000001,North East,Male,1,10 to 14,4,50.0,49.5,50.5,73
2012 to 2014,England,Region,E12000001,North East,Male,1,15 to 19,5,45.4,44.9,45.9,72
2012 to 2014,England,Region,E12000001,North East,Male,1,20 to 24,6,40.8,40.4,41.3,70
2012 to 2014,England,Region,E12000001,North East,Male,1,25 to 29,7,36.5,36.0,36.9,68
2012 to 2014,England,Region,E12000001,North East,Male,1,30 to 34,8,32.2,31.8,32.7,66
2012 to 2014,England,Region,E12000001,North East,Male,1,35 to 39,9,28.1,27.7,28.6,64
2012 to 2014,England,Region,E12000001,North East,Male,1,40 to 44,10,24.2,23.7,24.6,61
2012 to 2014,England,Region,E12000001,North East,Male,1,45 to 49,11,20.4,20.0,20.8,59
2012 to 2014,England,Region,E12000001,North East,Male,1,50 to 54,12,16.8,16.4,17.3,56
2012 to 2014,England,Region,E12000001,North East,Male,1,55 to 59,13,13.6,13.2,14.0,52
2012 to 2014,England,Region,E12000001,North East,Male,1,60 to 64,14,10.6,10.2,11.0,49
2012 to 2014,England,Region,E12000001,North East,Male,1,65 to 69,15,8.2,7.8,8.6,46
2012 to 2014,England,Region,E12000001,North East,Male,1,70 to 74,16,5.9,5.5,6.4,42
